ID_H,ID_W,G6,F14
9025.0,5.0,2.0,600000.0
9026.0,5.0,3.0,116300.0
9027.0,5.0,2.0,400000.0
9028.0,5.0,2.0,370000.0
9029.0,5.0,2.0,90000.0
9030.0,5.0,2.0,692000.0
9031.0,5.0,2.0,900000.0
9032.0,5.0,2.0,133000.0
9034.0,5.0,2.0,133270.0
9036.0,5.0,2.0,500000.0
9037.0,5.0,2.0,290000.0
9038.0,5.0,2.0,290000.0
9039.0,5.0,2.0,2000000.0
9040.0,5.0,2.0,470000.0
9041.0,5.0,2.0,190000.0
9042.0,5.0,2.0,99999998.0
9043.0,5.0,2.0,450000.0
9045.0,5.0,2.0,250000.0
9046.0,5.0,2.0,600000.0
9047.0,5.0,2.0,250000.0
9048.0,5.0,2.0,120000.0
9049.0,5.0,2.0,1295000.0
9050.0,5.0,2.0,90000.0
9051.0,5.0,2.0,385000.0
9053.0,5.0,2.0,348000.0
9054.0,5.0,2.0,700000.0
9055.0,5.0,2.0,410000.0
9056.0,5.0,3.0,410000.0
9057.0,5.0,3.0,500000.0
9058.0,5.0,2.0,200000.0
9059.0,5.0,3.0,1230000.0
9060.0,5.0,99999999.0,99999999.0
9061.0,5.0,3.0,170000.0
9063.0,5.0,2.0,400000.0
9064.0,5.0,2.0,318450.0
9065.0,5.0,1.0,200000.0
9066.0,5.0,2.0,900000.0
9067.0,5.0,2.0,1000000.0
9068.0,5.0,3.0,3180000.0
9069.0,5.0,2.0,195000.0
9070.0,5.0,2.0,400000.0
9071.0,5.0,3.0,574000.0
9072.0,5.0,1.0,142000.0
9074.0,5.0,1.0,135000.0
9075.0,5.0,2.0,1380000.0
9076.0,5.0,2.0,800000.0
9077.0,5.0,3.0,300000.0
9078.0,5.0,2.0,200000.0
9079.0,5.0,2.0,400000.0
9080.0,5.0,2.0,1000000.0
9081.0,5.0,3.0,1145000.0
9082.0,5.0,2.0,440000.0
9083.0,5.0,3.0,800000.0
9084.0,5.0,3.0,500000.0
9085.0,5.0,2.0,1750000.0
9086.0,5.0,2.0,550000.0
9087.0,5.0,2.0,120000.0
9088.0,5.0,2.0,224000.0
9089.0,5.0,2.0,80000.0
9090.0,5.0,2.0,170000.0
9092.0,5.0,2.0,340000.0
9093.0,5.0,2.0,472000.0
9094.0,5.0,2.0,400000.0
9095.0,5.0,2.0,504500.0
9096.0,5.0,2.0,424000.0
9097.0,5.0,2.0,100000.0
9098.0,5.0,2.0,152000.0
9099.0,5.0,2.0,81000.0
9101.0,5.0,2.0,270000.0
9102.0,5.0,2.0,550000.0
9103.0,5.0,2.0,242500.0
9104.0,5.0,2.0,125000.0
9106.0,5.0,2.0,112000.0
9107.0,5.0,2.0,1000000.0
9108.0,5.0,2.0,250000.0
10001.0,5.0,2.0,257000.0
10002.0,5.0,2.0,1008000.0
10004.0,5.0,3.0,110000.0
10005.0,5.0,2.0,1198500.0
10006.0,5.0,2.0,186000.0
10007.0,5.0,2.0,452000.0
10008.0,5.0,2.0,1041000.0
10009.0,5.0,2.0,627000.0
10010.0,5.0,2.0,665000.0
10011.0,5.0,2.0,715000.0
10012.0,5.0,2.0,350000.0
10013.0,5.0,2.0,284000.0
10014.0,5.0,2.0,292200.0
10015.0,5.0,2.0,704000.0
10016.0,5.0,2.0,302000.0
10017.0,5.0,2.0,286000.0
10019.0,5.0,2.0,270000.0
10020.0,5.0,2.0,90000.0
10021.0,5.0,2.0,410000.0
10022.0,5.0,2.0,130000.0
10023.0,5.0,2.0,320000.0
10024.0,5.0,2.0,128000.0
10026.0,5.0,2.0,350000.0
10027.0,5.0,2.0,808000.0
10028.0,5.0,2.0,250000.0
10029.0,5.0,2.0,500000.0
10031.0,5.0,2.0,500000.0
10032.0,5.0,2.0,360000.0
10034.0,5.0,3.0,200000.0
10035.0,5.0,2.0,370000.0
10038.0,5.0,2.0,600500.0
10039.0,5.0,2.0,311000.0
10040.0,5.0,2.0,187000.0
10041.0,5.0,2.0,553000.0
10042.0,5.0,2.0,67000.0
10043.0,5.0,2.0,539000.0
10044.0,5.0,2.0,548000.0
10045.0,5.0,2.0,770000.0
10047.0,5.0,3.0,305000.0
10048.0,5.0,3.0,110000.0
10049.0,5.0,2.0,185000.0
10050.0,5.0,2.0,84000.0
10051.0,5.0,2.0,300000.0
10052.0,5.0,2.0,99999999.0
10053.0,5.0,2.0,590000.0
10054.0,5.0,1.0,99999997.0
10056.0,5.0,3.0,610000.0
10057.0,5.0,2.0,940000.0
10058.0,5.0,2.0,300000.0
10059.0,5.0,2.0,660000.0
10060.0,5.0,2.0,665000.0
10061.0,5.0,2.0,250000.0
10064.0,5.0,1.0,460000.0
10066.0,5.0,2.0,450000.0
